"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","-","All days","10","Cork city","Number","267788"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","-","All days","20","Galway city","Number","90606"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","-","All days","30","Limerick city","Number","67864"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","-","All days","40","Waterford city","Number","16158"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","-","All days","50","Dublin Bus","Number","2771016"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","1","Sunday","10","Cork city","Number","17773"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","1","Sunday","20","Galway city","Number","6680"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","1","Sunday","30","Limerick city","Number","3913"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","1","Sunday","40","Waterford city","Number","68"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","1","Sunday","50","Dublin Bus","Number","212860"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","2","Monday","10","Cork city","Number","39856"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","2","Monday","20","Galway city","Number","13514"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","2","Monday","30","Limerick city","Number","10189"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","2","Monday","40","Waterford city","Number","2572"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","2","Monday","50","Dublin Bus","Number","405383"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","3","Tuesday","10","Cork city","Number","43658"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","3","Tuesday","20","Galway city","Number","14570"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","3","Tuesday","30","Limerick city","Number","10960"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","3","Tuesday","40","Waterford city","Number","2848"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","3","Tuesday","50","Dublin Bus","Number","454256"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","4","Wednesday","10","Cork city","Number","45834"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","4","Wednesday","20","Galway city","Number","15072"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","4","Wednesday","30","Limerick city","Number","11560"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","4","Wednesday","40","Waterford city","Number","2975"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","4","Wednesday","50","Dublin Bus","Number","457491"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","5","Thursday","10","Cork city","Number","45070"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","5","Thursday","20","Galway city","Number","14994"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","5","Thursday","30","Limerick city","Number","11693"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","5","Thursday","40","Waterford city","Number","3033"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","5","Thursday","50","Dublin Bus","Number","469742"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","6","Friday","10","Cork city","Number","45294"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","6","Friday","20","Galway city","Number","14863"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","6","Friday","30","Limerick city","Number","11553"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","6","Friday","40","Waterford city","Number","3029"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","6","Friday","50","Dublin Bus","Number","469734"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","7","Saturday","10","Cork city","Number","30303"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","7","Saturday","20","Galway city","Number","10913"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","7","Saturday","30","Limerick city","Number","7996"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","7","Saturday","40","Waterford city","Number","1633"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2018","2018","7","Saturday","50","Dublin Bus","Number","301550"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","-","All days","10","Cork city","Number","305666"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","-","All days","20","Galway city","Number","108642"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","-","All days","30","Limerick city","Number","67874"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","-","All days","40","Waterford city","Number","10730"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","-","All days","50","Dublin Bus","Number","2660271"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","1","Sunday","10","Cork city","Number","22219"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","1","Sunday","20","Galway city","Number","8925"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","1","Sunday","30","Limerick city","Number","3915"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","1","Sunday","40","Waterford city","Number","507"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","1","Sunday","50","Dublin Bus","Number","209324"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","10","Cork city","Number","44456"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","20","Galway city","Number","15875"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","30","Limerick city","Number","10190"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","40","Waterford city","Number","1517"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","50","Dublin Bus","Number","392598"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","10","Cork city","Number","49301"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","20","Galway city","Number","17338"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","30","Limerick city","Number","10961"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","40","Waterford city","Number","1729"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","50","Dublin Bus","Number","422732"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","10","Cork city","Number","50315"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","20","Galway city","Number","17567"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","30","Limerick city","Number","11562"
